"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"2320","C-0_0_3_3_2_2_2_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.11","8","0.8","26","28","8442.47","14.5","2862.81"
"2321","C-0_0_3_3_2_2_2_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.11","8","0.8","26","18","7898.72","80.0","2702.01"
"2322","C-0_0_3_3_2_2_2_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.11","8","0.8","26","23","8092.5","82.0","2757.36"
"2323","C-0_0_0_2_0_0_2_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","2","0.8","28","28","11551.75","661.5","3641.57"
"2324","C-0_0_3_3_2_2_2_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.11","8","0.8","26","13","7897.24","80.0","2701.57"
"2325","C-0_0_2_3_1_1_0_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.08","5","0.6","28","13","8929.04","428.0","2849.99"
"2326","C-0_0_0_2_0_0_2_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","2","0.8","28","23","11178.51","728.5","3519.78"
"2327","C-0_0_2_3_1_1_0_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.08","5","0.6","28","18","8929.89","428.0","2850.25"
"2328","C-0_0_0_2_0_0_2_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","2","0.8","28","18","11006.97","745.0","3467.5"
"2329","C-0_0_2_3_1_1_0_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.08","5","0.6","28","23","8920.28","393.0","2848.31"
"2330","C-0_0_0_2_0_0_2_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","2","0.8","28","13","11005.29","745.0","3466.94"
"2331","C-0_0_2_3_1_1_0_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.08","5","0.6","28","28","9093.45","305.5","2900.23"
"2332","C-0_0_4_2_3_0_3_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","2","0.9","26","13","6129.17","83.5","1822.85"
"2333","C-0_0_2_3_2_1_3_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.11","5","0.9","28","23","8582.54","394.0","2744.68"
"2334","C-0_0_4_2_3_0_3_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","2","0.9","26","28","6970.55","4.0","2063.4"
"2335","C-0_0_2_3_2_1_3_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.11","5","0.9","28","28","9082.47","204.0","2900.7"
"2336","C-0_0_2_3_2_1_3_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.11","5","0.9","28","13","8205.91","391.5","2635.63"
"2337","C-0_0_4_2_3_0_3_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","2","0.9","26","18","6130.92","83.5","1823.35"
"2338","C-0_0_4_2_3_0_3_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","2","0.9","26","23","6513.26","81.0","1941.68"
"2339","C-0_0_2_3_2_1_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.11","5","0.9","28","18","8208.04","390.0","2636.28"
"2340","C-0_0_0_3_1_1_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","5","0.8","27","28","10803.68","646.0","3560.11"
"2341","C-0_0_2_3_0_0_0_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","2","0.6","27","28","10115.51","301.5","3012.93"
"2342","C-0_0_2_0_0_2_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","8","0.8","27","13","9127.75","317.5","3205.09"
"2343","C-0_0_0_3_1_1_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","5","0.8","27","18","10239.19","741.5","3374.89"
"2344","C-0_0_0_3_1_1_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","5","0.8","27","23","10419.86","721.5","3431.14"
"2345","C-0_0_2_0_0_2_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","8","0.8","27","18","9129.03","315.5","3205.49"
"2346","C-0_0_2_3_0_0_0_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","2","0.6","27","13","9980.27","435.0","2972.64"
"2347","C-0_0_2_0_0_2_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","8","0.8","27","23","9267.95","295.0","3247.49"
"2348","C-0_0_0_3_1_1_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","5","0.8","27","13","10237.35","741.5","3374.27"
"2349","C-0_0_2_0_0_2_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","8","0.8","27","28","9616.3","177.5","3353.76"
"2350","C-0_0_2_3_0_0_0_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","2","0.6","27","23","9954.05","395.5","2965.23"
"2351","C-0_0_2_3_0_0_0_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","2","0.6","27","18","9980.98","435.0","2972.85"
"2352","C-0_0_2_1_0_1_1_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","5","0.7","27","13","9285.98","367.0","3034.16"
"2353","C-0_0_2_1_0_1_1_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","5","0.7","27","18","9286.94","367.0","3034.45"
"2354","C-0_0_1_0_0_3_3_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.05","0.05","11","0.9","26","18","9916.24","508.0","3700.16"
"2355","C-0_0_1_0_0_3_3_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.05","0.05","11","0.9","26","13","9914.25","507.5","3699.51"
"2356","C-0_0_2_1_0_1_1_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","5","0.7","27","23","9329.91","344.0","3047.8"
"2357","C-0_0_4_3_3_3_2_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","11","0.8","28","28","7694.89","0.0","2810.4"
"2358","C-0_0_4_3_3_3_2_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","11","0.8","28","23","7343.54","13.0","2706.12"
"2359","C-0_0_4_3_3_3_2_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","11","0.8","28","18","7140.92","21.5","2649.5"
"2360","C-0_0_4_3_3_3_2_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","11","0.8","28","13","7139.48","20.5","2649.08"
"2361","C-0_0_1_0_0_3_3_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.05","0.05","11","0.9","26","28","10756.58","400.5","3963.27"
"2362","C-0_0_2_1_0_1_1_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","5","0.7","27","28","9572.55","232.0","3120.19"
"2363","C-0_0_1_0_0_3_3_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.05","0.05","11","0.9","26","23","10237.43","497.5","3794.8"
"2364","C-0_0_2_2_0_0_0_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","2","0.6","27","13","9465.41","435.0","2864.53"
"2365","C-0_0_1_1_0_2_2_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","8","0.8","26","13","10167.35","547.5","3550.71"
"2366","C-0_0_2_2_0_0_0_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","2","0.6","27","18","9466.12","435.0","2864.74"
"2367","C-0_0_2_2_0_0_0_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","2","0.6","27","23","9440.45","395.5","2857.38"
"2368","C-0_0_1_1_0_2_2_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","8","0.8","26","23","10338.86","524.5","3601.87"
"2369","C-0_0_2_2_0_0_0_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","2","0.6","27","28","9603.21","301.5","2905.36"
"2370","C-0_0_1_1_0_2_2_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","8","0.8","26","18","10168.79","548.0","3551.18"
"2371","C-0_0_4_2_3_4_3_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","14","0.9","28","23","7110.51","6.0","2874.71"
"2372","C-0_0_0_3_1_3_3_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","11","0.9","27","23","10844.36","678.5","3952.42"
"2373","C-0_0_4_2_3_4_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","14","0.9","28","18","6745.04","7.5","2766.06"
"2374","C-0_0_0_3_1_3_3_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","11","0.9","27","28","11409.45","586.0","4148.27"
"2375","C-0_0_4_2_3_4_3_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","14","0.9","28","13","6743.0","7.0","2765.45"
"2376","C-0_0_1_1_0_2_2_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.10","0.05","8","0.8","26","28","10703.68","447.0","3717.6"
"2377","C-0_0_0_3_1_3_3_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","11","0.9","27","13","10490.59","690.5","3846.3"
"2378","C-0_0_4_2_3_4_3_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","14","0.9","28","28","7624.29","0.0","3021.29"
"2379","C-0_0_0_3_1_3_3_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.20","0.08","11","0.9","27","18","10493.15","690.0","3847.2"
"2380","C-0_0_1_2_0_1_1_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","5","0.7","26","23","10414.65","566.0","3401.51"
"2381","C-0_0_1_2_0_1_1_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","5","0.7","26","28","10667.78","495.5","3479.85"
"2382","C-0_0_2_0_0_4_3_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","14","0.9","27","28","10185.16","116.5","3911.35"
"2383","C-0_0_1_2_0_1_1_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","5","0.7","26","13","10372.14","586.5","3387.09"
"2384","C-0_0_1_2_0_1_1_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","5","0.7","26","18","10373.23","586.5","3387.43"
"2385","C-0_0_2_0_0_4_3_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","14","0.9","27","18","9361.69","246.0","3661.32"
"2386","C-0_0_2_0_0_4_3_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","14","0.9","27","23","9678.7","244.0","3752.82"
"2387","C-0_0_2_0_0_4_3_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","14","0.9","27","13","9359.8","247.0","3660.72"
"2388","C-0_0_4_3_3_1_1_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","5","0.7","28","28","7181.86","15.5","2278.18"
"2389","C-0_0_3_3_1_3_0_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","11","0.6","27","18","8641.57","79.0","3108.89"
"2390","C-0_0_3_3_1_3_0_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","11","0.6","27","13","8640.8","78.0","3108.66"
"2391","C-0_0_3_3_1_3_0_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","11","0.6","27","28","8810.93","41.0","3160.54"
"2392","C-0_0_3_3_1_3_0_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","11","0.6","27","23","8634.85","65.5","3108.28"
"2393","C-0_0_4_2_3_2_2_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","8","0.8","28","23","6690.49","32.0","2372.52"
"2394","C-0_0_4_2_3_2_2_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","8","0.8","28","28","7060.58","0.0","2471.8"
"2395","C-0_0_4_1_3_3_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.14","11","0.9","28","18","6116.77","16.0","2428.14"
"2396","C-0_0_4_1_3_3_3_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.14","11","0.9","28","23","6532.74","12.5","2549.47"
"2397","C-0_0_4_1_3_3_3_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.10","0.14","11","0.9","28","28","6980.8","0.0","2681.48"
"2398","C-0_0_0_2_1_2_3_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.08","8","0.9","27","23","10144.33","698.0","3590.8"
"2399","C-0_0_0_2_1_2_3_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.08","8","0.9","27","28","10716.14","603.0","3784.91"
"2400","C-0_0_0_2_1_2_3_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.08","8","0.9","27","13","9749.98","710.0","3475.38"
"2401","C-0_0_0_2_1_2_3_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.08","8","0.9","27","18","9752.46","710.0","3476.24"
"2402","C-0_0_3_1_1_2_3_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.08","8","0.9","25","23","7786.51","79.5","2752.62"
"2403","C-0_0_3_1_1_2_3_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.08","8","0.9","25","28","8253.23","14.0","2888.73"
"2404","C-0_0_3_1_1_2_3_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.08","8","0.9","25","13","7433.95","78.5","2646.85"
"2405","C-0_0_3_1_1_2_3_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.08","8","0.9","25","18","7435.77","78.5","2647.39"
"2406","C-0_0_3_2_1_1_2_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.15","0.08","5","0.8","25","28","8380.27","45.0","2692.02"
"2407","C-0_0_3_2_1_1_2_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.15","0.08","5","0.8","25","18","7866.1","115.5","2541.38"
"2408","C-0_0_3_2_1_1_2_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.15","0.08","5","0.8","25","23","8046.83","103.0","2593.11"
"2409","C-0_0_3_2_1_1_2_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.15","0.08","5","0.8","25","13","7864.75","116.0","2540.98"
"2410","C-0_0_3_3_1_0_1_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","2","0.7","25","28","8529.1","78.5","2503.59"
"2411","C-0_0_3_3_1_0_1_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","2","0.7","25","23","8301.13","149.0","2437.03"
"2412","C-0_0_3_3_1_0_1_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","2","0.7","25","18","8238.23","169.5","2419.11"
"2413","C-0_0_3_3_1_0_1_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.08","2","0.7","25","13","8237.26","169.5","2418.83"
"2414","C-0_0_4_3_2_1_1_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.11","5","0.7","27","18","7232.28","76.5","2292.64"
"2415","C-0_0_4_3_2_1_1_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.11","5","0.7","27","23","7309.03","67.5","2314.04"
"2416","C-0_0_4_3_2_1_1_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.11","5","0.7","27","28","7539.26","25.5","2380.21"
"2417","C-0_0_2_1_0_3_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","11","0.8","27","28","10113.79","154.5","3666.24"
"2418","C-0_0_2_1_0_3_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","11","0.8","27","23","9757.97","270.5","3556.98"
"2419","C-0_0_2_1_0_3_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","11","0.8","27","18","9587.09","287.5","3507.37"
"2420","C-0_0_2_1_0_3_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","11","0.8","27","13","9585.72","287.5","3506.94"
"2421","C-0_0_4_3_2_1_1_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.11","5","0.7","27","13","7231.33","76.5","2292.37"
"2422","C-0_0_2_0_0_3_3_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","11","0.9","27","13","9189.4","274.5","3416.9"
"2423","C-0_0_2_0_0_3_3_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","11","0.9","27","18","9191.23","273.0","3417.47"
"2424","C-0_0_2_0_0_3_3_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","11","0.9","27","23","9509.03","266.0","3509.44"
"2425","C-0_0_1_2_0_4_0_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","14","0.6","26","23","10809.89","491.5","4102.86"
"2426","C-0_0_1_2_0_4_0_1_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","14","0.6","26","28","10998.98","451.5","4162.01"
"2427","C-0_0_2_0_0_3_3_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.05","0.05","11","0.9","27","28","10007.35","131.5","3664.16"
"2428","C-0_0_2_2_0_2_1_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","8","0.7","27","28","10099.2","207.0","3437.03"
"2429","C-0_0_2_2_0_2_1_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","8","0.7","27","23","9860.97","306.5","3364.53"
"2430","C-0_0_2_2_0_2_1_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","8","0.7","27","18","9811.99","331.5","3349.43"
"2431","C-0_0_2_2_0_2_1_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","8","0.7","27","13","9811.05","332.0","3349.14"
"2432","C-0_0_1_2_0_4_0_1_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","14","0.6","26","13","10839.28","511.5","4106.7"
"2433","C-0_0_1_2_0_4_0_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","14","0.6","26","18","10840.12","512.0","4106.98"
"2434","C-0_0_2_1_0_2_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","8","0.8","27","18","9421.78","315.5","3266.37"
"2435","C-0_0_2_1_0_2_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","8","0.8","27","23","9592.56","295.0","3315.78"
"2436","C-0_0_2_1_0_2_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","8","0.8","27","28","9942.7","177.5","3422.39"
"2437","C-0_0_2_3_0_1_0_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","5","0.6","27","28","10268.23","266.5","3249.66"
"2438","C-0_0_2_3_0_1_0_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","5","0.6","27","23","10103.6","356.0","3200.61"
"2439","C-0_0_2_3_0_1_0_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","5","0.6","27","18","10128.39","389.5","3207.21"
"2440","C-0_0_2_3_0_1_0_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.05","5","0.6","27","13","10127.68","390.0","3206.99"
"2441","C-0_0_2_1_0_2_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","8","0.8","27","13","9420.47","317.5","3265.97"
"2442","C-0_0_2_2_0_1_1_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","5","0.7","27","28","9938.14","231.5","3197.0"
"2443","C-0_0_2_2_0_1_1_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","5","0.7","27","23","9704.56","344.0","3126.51"
"2444","C-0_0_2_2_0_1_1_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","5","0.7","27","18","9657.22","367.0","3112.24"
"2445","C-0_0_2_2_0_1_1_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","5","0.7","27","13","9656.24","367.0","3111.95"
"2446","C-0_0_2_3_3_2_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.14","8","0.9","28","18","7960.69","346.0","2755.5"
"2447","C-0_0_2_3_3_2_3_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.20","0.14","8","0.9","28","13","7958.4","347.0","2754.79"
"2448","C-0_0_4_2_2_0_1_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.11","2","0.7","27","13","6620.89","107.5","1963.96"
